,Location,Dis No,Lat,Long
851, Knox,2003-0210-USA,41.3,-86.62
852, Scotland,2003-0210-USA,39.97,-77.59
853, Clark,2003-0210-USA,40.64,-74.31
854, Macon,2003-0210-USA,32.84,-83.63
855, Shelby,2003-0210-USA,42.67,-83.03
856, Mercer,2003-0210-USA,41.23,-80.24
857, Lafayette,2003-0210-USA,30.22,-92.02
858, Saline,2003-0210-USA,42.17,-83.78
859, Cape Girardeau,2003-0210-USA,37.31,-89.52
862, Marshall,2003-0210-USA,32.54,-94.37
863, Benton,2003-0210-USA,34.56,-92.59
866, Newton,2003-0210-USA,42.34,-71.21
867, Scott,2003-0210-USA,30.24,-92.09
868, Chickasaw,2003-0210-USA,30.76,-88.07
869, Monroe,2003-0210-USA,32.51,-92.12
870, Lee,2003-0210-USA,43.12,-71.01
872, Madison,2003-0210-USA,43.07,-89.4
874, Washington,2003-0210-USA,47.5,-120.5
875, Vance,2003-0210-USA,33.17,-87.23
878, Hertford,2003-0210-USA,51.8,-0.08
883, Ottawa,2003-0210-USA,45.41,-75.7
886, Lincoln,2003-0210-USA,40.8,-96.67
887, Canadian,2003-0210-USA,35.91,-100.38
888, Caddo,2003-0210-USA,34.57,-87.14
889, Osage,2003-0210-USA,43.28,-92.81
890, Noble,2003-0210-USA,35.14,-97.39
892, Marshall,2003-0210-USA,32.54,-94.37
895, Aiken,2003-0210-USA,33.56,-81.72
896, Abbeville,2003-0210-USA,50.1,1.83
898, Perkins,2003-0210-USA,35.97,-97.03
900, Dyer,2003-0210-USA,41.49,-87.52
901, Madison,2003-0210-USA,43.07,-89.4
903, Gibson,2003-0210-USA,34.88,-92.24
905, Henry,2003-0210-USA,41.11,-89.36
906, Stewart,2003-0210-USA,49.65,-112.74
907, Henderson,2003-0210-USA,36.04,-114.98
908, Carroll,2003-0210-USA,42.07,-94.87
909, Montgomery,2003-0210-USA,30.67,73.1
910, Robertson,2003-0210-USA,-34.58,150.6
911, Williamson,2003-0210-USA,34.69,-112.54
912, Davidson,2003-0210-USA,35.5,-80.84
914, Lincoln,2003-0210-USA,40.8,-96.67
915, Lawrence,2003-0210-USA,38.97,-95.24
916, Hardin,2003-0210-USA,45.73,-107.61
920, Harrison,2003-0210-USA,40.97,-73.71
923,Mason,2003-0780-USA,39.36,-84.31
924, Tazewell,2003-0780-USA,37.11,-81.52
925, Logan,2003-0780-USA,41.74,-111.83
928,Paso Robles,2003-0623-USA,35.63,-120.69
929, Templeton,2003-0623-USA,35.55,-120.71
930, Atascadero,2003-0623-USA,35.49,-120.67
931, Cambria,2003-0623-USA,35.56,-121.08
932, Morro Bay,2003-0623-USA,35.37,-120.85
936,Snohomish,2003-0511-USA,48.05,-121.72
937, Mason,2003-0511-USA,39.36,-84.31
939, Jefferson,2003-0511-USA,38.86,-77.19
943,Tennessee,2003-0756-USA,35.75,-86.25
944, Alabama,2003-0756-USA,32.75,-86.75
946,Beaumont,2003-0827-USA,30.09,-94.1
952, Dallas,2003-0827-USA,32.78,-96.81
955, Alabama,2003-0827-USA,32.75,-86.75
956, Arkansas,2003-0827-USA,34.75,-92.5
957, Florida,2003-0827-USA,28.75,-82.5
958, Georgia,2003-0827-USA,32.75,-83.5
959, Louisiana,2003-0827-USA,31,-92
960, Maryland,2003-0827-USA,39,-76.75
961, Missouri,2003-0827-USA,38.25,-92.5
962, North Carolina,2003-0827-USA,35.5,-80
963, Oklahoma,2003-0827-USA,35.49,-97.5
964, South Carolina,2003-0827-USA,34,-81
966, Virginia,2003-0827-USA,37.55,-77.45
972,Fontana,2003-0518-USA,34.09,-117.44
977,Geneva,2004-0249-USA,41.89,-88.31
978, Jefferson,2004-0249-USA,38.86,-77.19
979, Lauderdale,2004-0249-USA,-42.9,147.48
980, Limestone,2004-0249-USA,46.91,-67.83
983, Mississippi,2004-0249-USA,32.75,-89.75
985, Crawford,2004-0249-USA,-26.5,151.82
986, Jefferson,2004-0249-USA,38.86,-77.19
987, Logan,2004-0249-USA,41.74,-111.83
988, Perry,2004-0249-USA,32.46,-83.73
990, Clark,2004-0249-USA,40.64,-74.31
991, Crawford,2004-0249-USA,-26.5,151.82
992, Hamilton,2004-0249-USA,43.23,-79.95
993, Hancock,2004-0249-USA,47.13,-88.58
995, Jackson,2004-0249-USA,32.3,-90.18
996, Madison,2004-0249-USA,43.07,-89.4
997, Marion,2004-0249-USA,40.59,-83.13
998, Monroe,2004-0249-USA,32.51,-92.12
999, Morgan,2004-0249-USA,41.04,-111.68
1000, Miami,2004-0249-USA,25.77,-80.19
1001, Owen,2004-0249-USA,48.58,9.45
1006, Buchanan,2004-0249-USA,5.88,-10.05
1007, Lee,2004-0249-USA,43.12,-71.01
1010, Harper,2004-0249-USA,4.38,-7.72
1011, Marshall,2004-0249-USA,32.54,-94.37
1012, Republic,2004-0249-USA,37.12,-93.48
1014, Henry,2004-0249-USA,41.11,-89.36
1015, Hopkins,2004-0249-USA,44.92,-93.46
1016, Jefferson,2004-0249-USA,38.86,-77.19
1017, Knox,2004-0249-USA,41.3,-86.62
1023, Buchanan,2004-0249-USA,5.88,-10.05
1024, Clinton,2004-0249-USA,42.59,-82.92
1025, DeKalb,2004-0249-USA,41.93,-88.75
1027, Harrison,2004-0249-USA,40.97,-73.71
1029, Platte,2004-0249-USA,43.39,-98.84
1031, Holt,2004-0249-USA,42.64,-84.52
1034, Blaine,2004-0249-USA,45.16,-93.23
1035, Canadian,2004-0249-USA,35.91,-100.38
1037, Custer,2004-0249-USA,43.77,-103.6
1038, Kingfisher,2004-0249-USA,35.86,-97.93
1040, Oklahoma,2004-0249-USA,35.49,-97.5
1041, Tulsa,2004-0249-USA,36.15,-95.99
1046, Bedford,2004-0249-USA,52.13,-0.47
1047, Bradley,2004-0249-USA,41.14,-87.86
1048, Lincoln,2004-0249-USA,40.8,-96.67
1049, Franklin,2004-0249-USA,35.93,-86.87
1051, Grundy,2004-0249-USA,37.28,-82.1
1052, Hardin,2004-0249-USA,45.73,-107.61
1055, Houston,2004-0249-USA,29.76,-95.36
1057, Boone,2004-0249-USA,36.22,-81.67
1060, Jackson,2004-0249-USA,32.3,-90.18
1062, Lewis,2004-0249-USA,49.88,-96.07
1063, Logan,2004-0249-USA,41.74,-111.83
1064, Mason,2004-0249-USA,39.36,-84.31
1065, Morgan,2004-0249-USA,41.04,-111.68
1067, Putnam,2004-0249-USA,41.92,-71.91
1069, Wayne,2004-0249-USA,40.93,-74.28
1075,Alabama,2004-0462-USA,32.75,-86.75
1076, Louisiana,2004-0462-USA,31,-92
1077, Mississippi,2004-0462-USA,32.75,-89.75
1078, Florida,2004-0462-USA,28.75,-82.5
1079, Pennsylvania,2004-0462-USA,40.27,-76.91
1080, Maryland,2004-0462-USA,39,-76.75
1081, New Jersey,2004-0462-USA,40.17,-74.5
1082, Ohio,2004-0462-USA,40.25,-83
1083, North Carolina,2004-0462-USA,35.5,-80
1084, West Virginia,2004-0462-USA,38.5,-80.5
1085, Georgia,2004-0462-USA,32.75,-83.5
1087,Morgan,2004-0245-USA,39.72,-90.22
1090, Clark,2004-0245-USA,40.64,-74.31
1091, Floyd,2004-0245-USA,36.91,-80.32
1095, Benton,2004-0245-USA,34.56,-92.59
1096, Clay,2004-0245-USA,33.7,-86.6
1097, Dallas,2004-0245-USA,32.78,-96.81
1098, Grundy,2004-0245-USA,37.28,-82.1
1099, Humboldt,2004-0245-USA,35.82,-88.92
1100, Jones,2004-0245-USA,16.56,121.7
1101, Linn,2004-0245-USA,38.49,-91.85
1102, Marshall,2004-0245-USA,32.54,-94.37
1103, Pocahontas,2004-0245-USA,36.26,-90.97
1106, Jackson,2004-0245-USA,32.3,-90.18
1107, Linn,2004-0245-USA,38.49,-91.85
1108, Shawnee,2004-0245-USA,39.04,-94.72
1110, Estill,2004-0245-USA,32.75,-81.24
1111, Fayette,2004-0245-USA,33.68,-87.83
1112, Henderson,2004-0245-USA,36.04,-114.98
1113, Henry,2004-0245-USA,41.11,-89.36
1115, Martin,2004-0245-USA,49.07,18.92
1116, Powell,2004-0245-USA,40.16,-83.08
1122, Gentry,2004-0245-USA,36.27,-94.48
1123, Holt,2004-0245-USA,42.64,-84.52
1124, Linn,2004-0245-USA,38.49,-91.85
1125, Livingston,2004-0245-USA,55.9,-3.52
1126, Macon,2004-0245-USA,32.84,-83.63
1128, Adams,2004-0245-USA,42.62,-73.12
1129, Cass,2004-0245-USA,38.4,-79.91
1130, Clay,2004-0245-USA,33.7,-86.6
1131, Custer,2004-0245-USA,43.77,-103.6
1132, Franklin,2004-0245-USA,35.93,-86.87
1133, Fillmore,2004-0245-USA,34.4,-118.92
1134, Furnas,2004-0245-USA,37.78,-25.31
1136, Harlan,2004-0245-USA,41.65,-95.33
1137, Jefferson,2004-0245-USA,38.86,-77.19
1138, Lancaster,2004-0245-USA,34.7,-118.14
1141, Saline,2004-0245-USA,42.17,-83.78
1142, Thayer,2004-0245-USA,36.52,-91.54
1143, Webster,2004-0245-USA,42.05,-71.88
1145, Broome,2004-0245-USA,-17.97,122.23
1147, Athens,2004-0245-USA,37.98,23.72
1149, Fayette,2004-0245-USA,33.68,-87.83
1150, Perry,2004-0245-USA,32.46,-83.73
1152, Caddo,2004-0245-USA,34.57,-87.14
1153, Noble,2004-0245-USA,35.14,-97.39
1154, Osage,2004-0245-USA,43.28,-92.81
1155, Pawnee,2004-0245-USA,39.59,-89.58
1160, Taylor,2004-0245-USA,42.24,-83.27
1162, Lancaster,2004-0245-USA,34.7,-118.14
1163, Lee,2004-0245-USA,43.12,-71.01
1167, Manitowoc,2004-0245-USA,44.09,-87.66
1168, Dane,2004-0245-USA,48.08,-80.02
1170, North Carolina,2004-0245-USA,35.5,-80
1172,North Carolina,2004-0031-USA,35.5,-80
1173, South Carolina,2004-0031-USA,34,-81
1174, Iowa,2004-0031-USA,42,-93.5
1175, Missouri,2004-0031-USA,38.25,-92.5
1176, Ohio,2004-0031-USA,40.25,-83
1177, Maryland,2004-0031-USA,39,-76.75
1178, Nebraska,2004-0031-USA,41.5,-99.75
1179, New York,2004-0031-USA,40.71,-74.01
1180, Virginia,2004-0031-USA,37.55,-77.45
1181, Minnesota,2004-0031-USA,46.25,-94.25
1182, Indiana,2004-0031-USA,40,-86.25
1183, Illinois,2004-0031-USA,40,-89.25
1184, Pennsylvania,2004-0031-USA,40.27,-76.91
1185, Oklahoma,2004-0031-USA,35.49,-97.5
1186, Georgia,2004-0031-USA,32.75,-83.5
1187, Kansas,2004-0031-USA,38.5,-98.5
1188, New Jersey,2004-0031-USA,40.17,-74.5
1189, West Virginia,2004-0031-USA,38.5,-80.5
1191,Arkansas,2004-0121-USA,34.75,-92.5
1192, Louisiana,2004-0121-USA,31,-92
1193, North Carolina,2004-0121-USA,35.5,-80
1194, Oklahoma,2004-0121-USA,35.49,-97.5
1195, South Carolina,2004-0121-USA,34,-81
1196, Texas,2004-0121-USA,31.25,-99.25
1197, Virginia,2004-0121-USA,37.55,-77.45
1198, Kansas,2004-0121-USA,38.5,-98.5
1199, Missouri,2004-0121-USA,38.25,-92.5
1201,Arkansas,2004-0731-USA,34.75,-92.5
1202, Illinois,2004-0731-USA,40,-89.25
1203, Iowa,2004-0731-USA,42,-93.5
1204, Indiana,2004-0731-USA,40,-86.25
1205, Missouri,2004-0731-USA,38.25,-92.5
1207,Martin,2004-0455-USA,27.08,-80.42
1209, North Carolina,2004-0455-USA,35.5,-80
1210, South Carolina,2004-0455-USA,34,-81
1212,Los Angeles,2004-0196-USA,34.05,-118.24
1213, Riverside,2004-0196-USA,33.95,-117.4
1214, San Diego,2004-0196-USA,32.72,-117.16
1216,Milam,2004-0338-USA,31.43,-93.85
1217, Guadalupe,2004-0338-USA,25.68,-100.25
1226,Richmond,2004-0448-USA,37.55,-77.46
1227, Lynchburg,2004-0448-USA,37.41,-79.14
1229, South Carolina,2004-0448-USA,34,-81
1231,Bay,2004-0415-USA,43.73,-84.02
1232, Calhoun,2004-0415-USA,34.5,-84.95
1234, Franklin,2004-0415-USA,35.93,-86.87
1235, Gadsden,2004-0415-USA,34.01,-86.01
1238, Jackson,2004-0415-USA,32.3,-90.18
1239, Jefferson,2004-0415-USA,38.86,-77.19
1240, Leon,2004-0415-USA,21.12,-101.67
1241, Liberty,2004-0415-USA,39.25,-94.42
1242, Madison,2004-0415-USA,43.07,-89.4
1244, Santa Rosa,2004-0415-USA,14.31,121.11
1245, Taylor,2004-0415-USA,42.24,-83.27
1247, Walton,2004-0415-USA,38.88,-84.61
1249, South Carolina,2004-0415-USA,34,-81
1256,Wayne,2004-0248-USA,42.25,-83.28
1257, Oakland,2004-0248-USA,37.8,-122.27
1258, Macomb,2004-0248-USA,40.46,-90.67
1262,Pennsylvania,2004-0675-USA,40.27,-76.91
1265,Connecticut,2004-0740-USA,41.67,-72.67
1266, Delaware,2004-0740-USA,39,-75.5
1267, Maryland,2004-0740-USA,39,-76.75
1268, Maine,2004-0740-USA,45.5,-69.25
1269, New Hampshire,2004-0740-USA,43.67,-71.5
1270, New Jersey,2004-0740-USA,40.17,-74.5
1271, New York,2004-0740-USA,40.71,-74.01
1272, Pennsylvania,2004-0740-USA,40.27,-76.91
1273, Rhode Island,2004-0740-USA,41.75,-71.5
1283, Arizona,2005-0015-USA,34.5,-111.5
1285,New York,2005-0029-USA,40.71,-74.01
1286, Connecticut,2005-0029-USA,41.67,-72.67
1287, Wisconsin,2005-0029-USA,44.5,-90
1288, Ohio,2005-0029-USA,40.25,-83
1289, Maryland,2005-0029-USA,39,-76.75
1290, Massachusetts,2005-0029-USA,42.37,-71.11
1293,New Jersey,2005-0203-USA,40.17,-74.5
1294, Pennsylvania,2005-0203-USA,40.27,-76.91
1295, New York,2005-0203-USA,40.71,-74.01
1297,Mobile,2005-0467-USA,30.78,-88.2
1298, Bayou La Batre,2005-0467-USA,30.4,-88.25
1299, Dauphin Island,2005-0467-USA,30.26,-88.11
1307, Biloxi,2005-0467-USA,30.4,-88.89
1312, Waveland,2005-0467-USA,30.29,-89.38
1315, Georgia,2005-0467-USA,32.75,-83.5
1321, Napa,2005-0716-USA,38.3,-122.29
1322, Sonoma,2005-0716-USA,38.29,-122.46
1324, Marin,2005-0716-USA,42.38,-8.7
1325, Solano,2005-0716-USA,16.53,121.2
1332,Keene,2005-0583-USA,42.93,-72.28
1333, Alstead,2005-0583-USA,43.15,-72.36
1335, Unity,2005-0583-USA,52.45,-109.17
1336, Hinsdale,2005-0583-USA,41.8,-87.94
1339, Brattleboro,2005-0583-USA,42.85,-72.56
1346, Northbridge,2005-0583-USA,42.15,-71.65
1347, Worcester,2005-0583-USA,42.26,-71.8
1352, Wayne,2005-0583-USA,40.93,-74.28
1353, Little Falls,2005-0583-USA,40.87,-74.21
1356, Oakland,2005-0583-USA,37.8,-122.27
1357, Lodi,2005-0583-USA,38.13,-121.27
1362, Tolland,2005-0583-USA,41.87,-72.37
1363, Windham,2005-0583-USA,41.7,-72.16
1365,Louisiana,2005-0547-USA,31,-92
1366, Texas,2005-0547-USA,31.25,-99.25
1369,Maine,2005-0682-USA,45.5,-69.25
1370, New Hampshire,2005-0682-USA,43.67,-71.5
1371, Vermont,2005-0682-USA,44,-72.75
1372, Massachusetts,2005-0682-USA,42.37,-71.11
1373, Rhode Island,2005-0682-USA,41.75,-71.5
1374, Connecticut,2005-0682-USA,41.67,-72.67
1375, New York,2005-0682-USA,40.71,-74.01
1376, New Jersey,2005-0682-USA,40.17,-74.5
1377, Pennsylvania,2005-0682-USA,40.27,-76.91
1378, Idaho,2005-0682-USA,44.5,-114.25
1379, Michigan,2005-0682-USA,44.25,-85.5
1380, Minnesota,2005-0682-USA,46.25,-94.25
1381, Montana,2005-0682-USA,43.41,23.23
1382, North Dakota,2005-0682-USA,47.5,-100
1383, Oregon,2005-0682-USA,44,-120.5
1384, South Dakota,2005-0682-USA,44.5,-100.25
1385, Washington,2005-0682-USA,47.5,-120.5
1386, Wisconsin,2005-0682-USA,44.5,-90
1388,Florida,2005-0351-USA,28.75,-82.5
1390,Arizona,2005-0687-USA,34.5,-111.5
1391, Nevada,2005-0687-USA,39.25,-116.75
1392, Oklahoma,2005-0687-USA,35.49,-97.5
1393, Utah,2005-0687-USA,39.25,-111.75
1394, Missouri,2005-0687-USA,38.25,-92.5
1395, Kentucky,2005-0687-USA,-30.77,151.45
1396, Ohio,2005-0687-USA,40.25,-83
1398,Texas,2005-0724-USA,31.25,-99.25
1400,Amador,2006-0180-USA,18.55,-69.19
1402, Fresno,2006-0180-USA,36.75,-119.77
1403, Merced,2006-0180-USA,37.3,-120.48
1404, San Joaquin,2006-0180-USA,10.26,-67.79
1405, San Mateo,2006-0180-USA,14.7,121.12
1409,Maryland,2006-0341-USA,39,-76.75
1410, Pennsylvania,2006-0341-USA,40.27,-76.91
1411, New York,2006-0341-USA,40.71,-74.01
1412, Delaware,2006-0341-USA,39,-75.5
1413, Virginia,2006-0341-USA,37.55,-77.45
1415,Tennessee,2006-0161-USA,35.75,-86.25
1416, Illinois,2006-0161-USA,40,-89.25
1417, Arkansas,2006-0161-USA,34.75,-92.5
1418, Indiana,2006-0161-USA,40,-86.25
1419, Oklahoma,2006-0161-USA,35.49,-97.5
1420, Missouri,2006-0161-USA,38.25,-92.5
1421, Kentucky,2006-0161-USA,-30.77,151.45
1423,Sumner,2006-0171-USA,36.5,-86.45
1425, Alabama,2006-0171-USA,32.75,-86.75
1426, Georgia,2006-0171-USA,32.75,-83.5
1427, Indiana,2006-0171-USA,40,-86.25
1428, Kansas,2006-0171-USA,38.5,-98.5
1429, Kentucky,2006-0171-USA,-30.77,151.45
1431,Tarrant,2006-0257-USA,32.77,-97.3
1433,New Hampshire,2006-0260-USA,43.67,-71.5
1434, Maine,2006-0260-USA,45.5,-69.25
1436,Mercer,2006-0546-USA,40.38,-74.88
1438, Franklin,2006-0546-USA,35.93,-86.87
1442, Clay,2006-0546-USA,33.7,-86.6
1443, Fulton,2006-0546-USA,38.85,-91.95
1444, Randolph,2006-0546-USA,42.16,-71.04
1447, Missouri,2006-0546-USA,38.25,-92.5
1448, Indiana,2006-0546-USA,40,-86.25
1450,Illinois,2006-0743-USA,40,-89.25
1451, Indiana,2006-0743-USA,40,-86.25
1452, Kentucky,2006-0743-USA,-30.77,151.45
1453, Missouri,2006-0743-USA,38.25,-92.5
1454, New York,2006-0743-USA,40.71,-74.01
1455, Ohio,2006-0743-USA,40.25,-83
1456, Pennsylvania,2006-0743-USA,40.27,-76.91
1458,Missouri,2006-0128-USA,38.25,-92.5
1459, Arkansas,2006-0128-USA,34.75,-92.5
1460, Illinois,2006-0128-USA,40,-89.25
1461, Indiana,2006-0128-USA,40,-86.25
1462, Kansas,2006-0128-USA,38.5,-98.5
1464,North Carolina,2006-0595-USA,35.5,-80
1465, Alabama,2006-0595-USA,32.75,-86.75
1466, Arizona,2006-0595-USA,34.5,-111.5
1467, Arkansas,2006-0595-USA,34.75,-92.5
1468, Louisiana,2006-0595-USA,31,-92
1469, Maryland,2006-0595-USA,39,-76.75
1470, Mississippi,2006-0595-USA,32.75,-89.75
1471, Pennsylvania,2006-0595-USA,40.27,-76.91
1472, South Dakota,2006-0595-USA,44.5,-100.25
1474,Erie,2006-0642-USA,42.77,-78.67
1475, Niagara,2006-0642-USA,45.77,-87.99
1476, Genesee,2006-0642-USA,39.69,-105.27
1478,South Carolina,2006-0466-USA,34,-81
1479, North Carolina,2006-0466-USA,35.5,-80
1485,Huron,2006-0344-USA,41.15,-82.55
1486, Erie,2006-0344-USA,42.13,-80.09
1487, Crawford,2006-0344-USA,-26.5,151.82
1488, Lucas,2006-0344-USA,-16.33,-55.93
1495,Washington,2006-0598-USA,47.5,-120.5
1500,Riverside,2006-0576-USA,33.73,-116.05
1506,Oregon,2006-0744-USA,44,-120.5
1508,California,2007-0026-USA,38.3,-76.51
1509, Texas,2007-0026-USA,31.25,-99.25
1510, Georgia,2007-0026-USA,32.75,-83.5
1511, South Carolina,2007-0026-USA,34,-81
1512, Oklahoma,2007-0026-USA,35.49,-97.5
1513, Missouri,2007-0026-USA,38.25,-92.5
1514, Iowa,2007-0026-USA,42,-93.5
1515, Michigan,2007-0026-USA,44.25,-85.5
1516, New York,2007-0026-USA,40.71,-74.01
1517, Maine,2007-0026-USA,45.5,-69.25
1518, Kansas,2007-0026-USA,38.5,-98.5
1520,New York,2007-0066-USA,40.71,-74.01
1521, Vermont,2007-0066-USA,44,-72.75
1522, New Jersey,2007-0066-USA,40.17,-74.5
1523, Ohio,2007-0066-USA,40.25,-83
1526,Volusia,2007-0048-USA,29.08,-81.21
1527, Lake,2007-0048-USA,52.92,9.13
1528, Sumter,2007-0048-USA,33.92,-80.34
1530,Alabama,2007-0083-USA,32.75,-86.75
1531, Missouri,2007-0083-USA,38.25,-92.5
1532, Georgia,2007-0083-USA,32.75,-83.5
1534,Indiana,2007-0041-USA,40,-86.25
1535, Arkansas,2007-0041-USA,34.75,-92.5
1536, Texas,2007-0041-USA,31.25,-99.25
1537, Ohio,2007-0041-USA,40.25,-83
1539,Illinois,2007-0383-USA,40,-89.25
1540, Colorado,2007-0383-USA,-22.84,-51.97
1541, Michigan,2007-0383-USA,44.25,-85.5
1542, Minnesota,2007-0383-USA,46.25,-94.25
1543, Wisconsin,2007-0383-USA,44.5,-90
1544, Ohio,2007-0383-USA,40.25,-83
1545, Oklahoma,2007-0383-USA,35.49,-97.5
1547,Washington,2007-0581-USA,47.5,-120.5
1549,Colorado,2007-0662-USA,-22.84,-51.97
1550, Iowa,2007-0662-USA,42,-93.5
1551, Kansas,2007-0662-USA,38.5,-98.5
1552, Minnesota,2007-0662-USA,46.25,-94.25
1553, Missouri,2007-0662-USA,38.25,-92.5
1554, Nebraska,2007-0662-USA,41.5,-99.75
1555, Oklahoma,2007-0662-USA,35.49,-97.5
1557,Texas,2007-0663-USA,31.25,-99.25
1558, Delaware,2007-0663-USA,39,-75.5
1559, Connecticut,2007-0663-USA,41.67,-72.67
1560, Georgia,2007-0663-USA,32.75,-83.5
1561, Louisiana,2007-0663-USA,31,-92
1562, Massachusetts,2007-0663-USA,42.37,-71.11
1563, Maine,2007-0663-USA,45.5,-69.25
1564, Maryland,2007-0663-USA,39,-76.75
1565, Mississippi,2007-0663-USA,32.75,-89.75
1566, New Hampshire,2007-0663-USA,43.67,-71.5
1567, New Jersey,2007-0663-USA,40.17,-74.5
1568, New York,2007-0663-USA,40.71,-74.01
1569, North Carolina,2007-0663-USA,35.5,-80
1570, Pennsylvania,2007-0663-USA,40.27,-76.91
1571, Rhode Island,2007-0663-USA,41.75,-71.5
1572, South Carolina,2007-0663-USA,34,-81
1573, Vermont,2007-0663-USA,44,-72.75
1579, Burnet,2007-0244-USA,30.76,-98.23
1580, Marble Falls,2007-0244-USA,30.58,-98.27
1585, Lampasas,2007-0244-USA,31.06,-98.18
1586, Parker,2007-0244-USA,39.52,-104.76
1588, Miami,2007-0244-USA,25.77,-80.19
1591, Shawnee,2007-0244-USA,39.04,-94.72
1592, Tecumseh,2007-0244-USA,42,-83.94
1599, Bartlesville,2007-0244-USA,36.75,-95.98
1608, Allen,2007-0244-USA,33.1,-96.67
1610, Neosho,2007-0244-USA,36.87,-94.37
1611, Wilson,2007-0244-USA,35.72,-77.92
1613, Rockville,2007-0244-USA,39.08,-77.15
1617,Iowa,2007-0690-USA,42,-93.5
1618, Kansas,2007-0690-USA,38.5,-98.5
1619, Minnesota,2007-0690-USA,46.25,-94.25
1620, Texas,2007-0690-USA,31.25,-99.25
1623,Los Angeles,2007-0519-USA,34.05,-118.24
1624, Orange,2007-0519-USA,33.79,-117.85
1625, Riverside,2007-0519-USA,33.95,-117.4
1626, San Bernardino,2007-0519-USA,34.11,-117.29
1627, San Diego,2007-0519-USA,32.72,-117.16
1628, Santa Barbara,2007-0519-USA,34.42,-119.7
1630,Arkansas,2007-0689-USA,34.75,-92.5
1631, Iowa,2007-0689-USA,42,-93.5
1632, Texas,2007-0689-USA,31.25,-99.25
1633,Texas,2007-0359-USA,31.25,-99.25
1634, Oklahoma,2007-0359-USA,35.49,-97.5
1636,Illinois,2007-0621-USA,40,-89.25
1637, Iowa,2007-0621-USA,42,-93.5
1638, Missouri,2007-0621-USA,38.25,-92.5
1639, Minnesota,2007-0621-USA,46.25,-94.25
1640, Kansas,2007-0621-USA,38.5,-98.5
1641, Nebraska,2007-0621-USA,41.5,-99.75
1642, Colorado,2007-0621-USA,-22.84,-51.97
1643, Michigan,2007-0621-USA,44.25,-85.5
1644, Wisconsin,2007-0621-USA,44.5,-90
1646,Oklahoma,2007-0641-USA,35.55,-97.4
1647, Missouri,2007-0641-USA,38.25,-92.5
1648, Iowa,2007-0641-USA,42,-93.5
1649, Illinois,2007-0641-USA,40,-89.25
1650, Kansas,2007-0641-USA,38.5,-98.5
1651, Nebraska,2007-0641-USA,41.5,-99.75
1652, Connecticut,2007-0641-USA,41.67,-72.67
1653, Michigan,2007-0641-USA,44.25,-85.5
1654, New York,2007-0641-USA,40.71,-74.01
1655, New Jersey,2007-0641-USA,40.17,-74.5
1656, Pennsylvania,2007-0641-USA,40.27,-76.91
1658,Texas,2007-0173-USA,31.25,-99.25
1659, Kansas,2007-0173-USA,38.5,-98.5
1663,Alpine,2007-0351-USA,32.84,-116.77
1664, Amador,2007-0351-USA,18.55,-69.19
1666, El Dorado,2007-0351-USA,33.21,-92.67
1668, Placer,2007-0351-USA,9.65,125.6
1672,California,2007-9548-USA,38.3,-76.51
1673, Georgia,2007-9548-USA,32.75,-83.5
1675,California,2008-0010-USA,38.3,-76.51
1676, Nevada,2008-0010-USA,39.25,-116.75
1680, Parkesburg,2008-0210-USA,39.96,-75.92
1685, Minnesota,2008-0210-USA,46.25,-94.25
1686, Indiana,2008-0210-USA,40,-86.25
1687, Illinois,2008-0210-USA,40,-89.25
1688, Kansas,2008-0210-USA,38.5,-98.5
1689, Michigan,2008-0210-USA,44.25,-85.5
1690, Montana,2008-0210-USA,43.41,23.23
1691, Missouri,2008-0210-USA,38.25,-92.5
1692, Nebraska,2008-0210-USA,41.5,-99.75
1694,Kansas,2008-0194-USA,38.5,-98.5
1695, Maryland,2008-0194-USA,39,-76.75
1696, Missouri,2008-0194-USA,38.25,-92.5
1697, North Carolina,2008-0194-USA,35.5,-80
1698, Virginia,2008-0194-USA,37.55,-77.45
1699, Texas,2008-0194-USA,31.25,-99.25
1700, Oklahoma,2008-0194-USA,35.49,-97.5
1701, Georgia,2008-0194-USA,32.75,-83.5
1703,Tennessee,2008-0039-USA,35.75,-86.25
1704, Arkansas,2008-0039-USA,34.75,-92.5
1705, Kentucky,2008-0039-USA,-30.77,151.45
1706, Mississippi,2008-0039-USA,32.75,-89.75
1707, Alabama,2008-0039-USA,32.75,-86.75
1708, Indiana,2008-0039-USA,40,-86.25
1709, Texas,2008-0039-USA,31.25,-99.25
1710, Illinois,2008-0039-USA,40,-89.25
1711, Ohio,2008-0039-USA,40.25,-83
1713,Fulton,2008-0115-USA,33.77,-84.45
1714, DeKalb,2008-0115-USA,41.93,-88.75
1715, Cobb,2008-0115-USA,38.82,-122.72
1716, Clayton,2008-0115-USA,35.65,-78.46
1722, Brooks,2008-0304-USA,50.58,-111.89
1723, Calhoun,2008-0304-USA,34.5,-84.95
1724, Cameron,2008-0304-USA,39.74,-94.24
1725, Hidalgo,2008-0304-USA,25.84,-99.62
1727, Kenedy,2008-0304-USA,28.82,-97.85
1730, Refugio,2008-0304-USA,28.31,-97.28
1731, San Patricio,2008-0304-USA,19.22,-104.7
1733, Victoria,2008-0304-USA,48.43,-123.37
1735,Missouri,2008-0131-USA,38.25,-92.5
1736, Mississippi,2008-0131-USA,32.75,-89.75
1737, Arkansas,2008-0131-USA,34.75,-92.5
