,Location,Dis No,Lat,Long
209, Georgia,2001-0242-USA,32.75,-83.5
211, New Jersey,2001-0242-USA,40.17,-74.5
212, Virginia,2001-0242-USA,37.55,-77.45
214,Virginia,2001-0106-USA,37.55,-77.45
215, New Jersey,2001-0106-USA,40.17,-74.5
216, Pennsylvania,2001-0106-USA,40.27,-76.91
217, North Carolina,2001-0106-USA,35.5,-80
218, West Virginia,2001-0106-USA,38.5,-80.5
220,Calhoun,2001-0102-USA,42.25,-85
221, Lee,2001-0102-USA,43.12,-71.01
222, Pontotoc,2001-0102-USA,34.25,-89
223, Prentiss,2001-0102-USA,31.6,-89.87
225,Marion,2001-0194-USA,39.77,-86.16
229,Blue Grass,2001-0351-USA,41.51,-90.77
241, Merrick,2001-0564-USA,40.66,-73.55
243,Howard,2001-0566-USA,39.25,-76.93
256, Barstow,2001-0262-USA,34.9,-117.02
259,Minnesota,2001-0268-USA,46.25,-94.25
260, Iowa,2001-0268-USA,42,-93.5
261, Wisconsin,2001-0268-USA,44.5,-90
264,Illinois,2001-0770-USA,40,-89.25
265, Indiana,2001-0770-USA,40,-86.25
266, Iowa,2001-0770-USA,42,-93.5
267, Kansas,2001-0770-USA,38.5,-98.5
268, Michigan,2001-0770-USA,44.25,-85.5
269, Minnesota,2001-0770-USA,46.25,-94.25
270, Missouri,2001-0770-USA,38.25,-92.5
271, Nebraska,2001-0770-USA,41.5,-99.75
272, North Dakota,2001-0770-USA,47.5,-100
273, Ohio,2001-0770-USA,40.25,-83
274, South Dakota,2001-0770-USA,44.5,-100.25
277,Oregon,2001-0451-USA,44,-120.5
278, Washington,2001-0451-USA,47.5,-120.5
279, Idaho,2001-0451-USA,44.5,-114.25
280, California,2001-0451-USA,38.3,-76.51
281, Nevada,2001-0451-USA,39.25,-116.75
282, Colorado,2001-0451-USA,-22.84,-51.97
283, Arizona,2001-0451-USA,34.5,-111.5
284, Wyoming,2001-0451-USA,43,-107.5
285, Texas,2001-0451-USA,31.25,-99.25
287,Tennessee,2001-0722-USA,35.75,-86.25
288, Kentucky,2001-0722-USA,-30.77,151.45
289, West Virginia,2001-0722-USA,38.5,-80.5
290, Virginia,2001-0722-USA,37.55,-77.45
295,Sevier,2002-0165-USA,33.98,-94.25
297, Knox,2002-0165-USA,41.3,-86.62
299, Cumberland,2002-0165-USA,41.97,-71.43
301, Wise,2002-0165-USA,36.98,-82.58
305, North Carolina,2002-0165-USA,35.5,-80
306, Mississippi,2002-0165-USA,32.75,-89.75
307, Arkansas,2002-0165-USA,34.75,-92.5
310, Terrebonne,2002-0724-USA,45.7,-73.65
311, Lafayette,2002-0724-USA,30.22,-92.02
315,Alabama,2002-0017-USA,32.75,-86.75
316, Louisiana,2002-0017-USA,31,-92
317, Virginia,2002-0017-USA,37.55,-77.45
318, North Carolina,2002-0017-USA,35.5,-80
319, South Carolina,2002-0017-USA,34,-81
321, Georgia,2002-0017-USA,32.75,-83.5
324,Oklahoma,2002-0128-USA,35.55,-97.4
325, Missouri,2002-0128-USA,38.25,-92.5
326, Wisconsin,2002-0128-USA,44.5,-90
327, Michigan,2002-0128-USA,44.25,-85.5
332,Wayne,2002-0287-USA,42.25,-83.28
